user_id,area,area_km2
248,43388300.9297,43.3883009297
269,803.21875,0.00080321875
113,142136499.125,142.136499125
157,791292151.922,791.292151922
156,280816.226562,0.280816226562
195,215817707.016,215.817707016
277,437310.328125,0.437310328125
265,504449166.742,504.449166742
219,9014792.92969,9.01479292969
115,80501091.3359,80.5010913359
102,165016807.148,165.016807148
131,81723174.5312,81.7231745313
273,222962991.148,222.962991148
137,11080747.7422,11.0807477422
136,26377229.1797,26.3772291797
135,21040666801.2,21040.6668012
226,3150434.82812,3.15043482813
252,126570462.414,126.570462414
279,474746377.836,474.746377836
251,583174211.93,583.17421193
230,1215122205.43,1215.12220543
118,686517227.086,686.517227086
232,361789586.602,361.789586602
255,40313757.6797,40.3137576797
234,173389919.336,173.389919336
169,351255713.484,351.255713484
249,206235360.625,206.235360625
222,2354009.44531,2.35400944531
243,2074138.89844,2.07413889844
320,7643902.71875,7.64390271875
181,260924143.289,260.924143289
162,1254824712.5,1254.8247125
185,1750098947.16,1750.09894716
281,98681594999.2,98681.5949992
105,7694771.39844,7.69477139844
285,5172363.42969,5.17236342969
278,847413593.227,847.413593227
239,2381004.71875,2.38100471875
303,1445196306.88,1445.19630688
304,27282716.9922,27.2827169922
263,23804400127.9,23804.4001279
244,30762702.7266,30.7627027266
261,3802167.35156,3.80216735156
123,324832.828125,0.324832828125
241,15510640.6719,15.5106406719
125,53792643.9453,53.7926439453
126,181739.1875,0.1817391875
228,1.14825609169e+11,114825.609169
164,9362683.51562,9.36268351563
165,1803629815.16,1803.62981516
166,1831755243.14,1831.75524314
167,25083280.0391,25.0832800391
223,1973509.83594,1.97350983594
107,75777511.5156,75.7775115156
104,121734070.789,121.734070789
163,301903188.273,301.903188273
270,12102085.2422,12.1020852422
189,15882211.7266,15.8822117266
266,248042924.945,248.042924945
310,1233544.26562,1.23354426562
256,193159397.328,193.159397328
332,29051096995.6,29051.0969956
274,978739432.164,978.739432164
295,30819943.0781,30.8199430781
110,55334048.7578,55.3340487578
