"id";"hand";"brand";"model";"isYahoo";"joined";"yahooTaskFinished"
"145";"Right";"google";"Nexus 5";"1";"1434839681556";NULL
"146";"Left";"asus";"ASUS_T00P";"1";"1434840044414";NULL
"147";"Right";"docomo";"SO-02E";"1";"1434843819324";NULL
"148";"Right";"KDDI";"SOV31";"1";"1434846971562";NULL
"149";"Left";"samsung";"SC-04E";"1";"1434849120922";NULL
"150";"Right";"DOCOMO";"SH-01F";"1";"1434849360339";NULL
"151";"Right";"htc";"HTL22";"1";"1434852614722";NULL
"152";"Right";"KDDI";"SOL25";"1";"1434854203172";NULL
"153";"Left";"SBM";"SBM302SH";"1";"1434868629967";NULL
"154";"Right";"KDDI";"SHL25";"1";"1434870563699";NULL
"155";"Right";"DOCOMO";"SH-01F";"1";"1434874072530";NULL
"156";"Left";"SG";"402SH";"1";"1434876215577";NULL
"157";"Right";"docomo";"SO-01G";"1";"1434877791508";NULL
"158";"Right";"docomo";"SO-02E";"1";"1434885394724";NULL
"159";"Right";"SBM";"302KC";"1";"1434886374120";NULL
"160";"Right";"docomo";"SO-04E";"1";"1434886980672";NULL
"161";"Right";"SBM";"WX10K";"1";"1434894553263";NULL
"162";"Right";"KYOCERA";"404KC";"1";"1434903606246";"1435130168944"
"163";"Right";"docomo";"SO-04E";"1";"1434778846761";"1435307997873"
"164";"Right";"google";"Nexus 5";"1";"1434924830283";"1435145087044"
"165";"Right";"samsung";"SC-02E";"1";"1434928586103";"1435220265658"
"166";"Right";"samsung";"SC-04E";"1";"1434929010232";NULL
"167";"Right";"SBM";"401SO";"1";"1434935878671";NULL
"168";"Right";"Samsung";"SC-02C";"1";"1434936638423";NULL
"169";"Right";"BRCM";"CP-F50aK";"1";"1434940517447";NULL
"170";"Right";"SG";"305SH";"1";"1434944245982";NULL
"171";"Left";"DOCOMO";"SH-01F";"1";"1434948752980";NULL
"172";"Right";"docomo";"SO-04E";"1";"1434950325468";NULL
"173";"Right";"DOCOMO";"F-07E";"1";"1434963326011";NULL
"174";"Right";"DOCOMO";"F-07E";"1";"1434964727882";NULL
"175";"Right";"docomo";"SO-02E";"1";"1434966373446";NULL
"176";"Right";"docomo";"SO-02E";"1";"1434966373446";NULL
"177";"Right";"samsung";"GT-I9500";"1";"1434970300443";NULL
"178";"Right";"samsung";"SC-06D";"1";"1434976219825";NULL
"179";"Right";"samsung";"SC-06D";"1";"1434976999430";NULL
"180";"Right";"KDDI";"LGL22";"0";"1434977091513";NULL
"181";"Right";"KDDI";"LGL22";"1";"1434977342548";NULL
"182";"Right";"samsung";"SC-06D";"1";"1434978021716";NULL
"183";"Right";"SG";"305SH";"1";"1434984241226";NULL
"184";"Right";"google";"Nexus 5";"0";"1434988190347";NULL
"185";"Right";"docomo";"SO-04E";"1";"1434887189281";NULL
"186";"Right";"KDDI";"SOL23";"1";"1435009706206";NULL
"187";"Right";"SBM";"SBM206SH";"1";"1435018001523";NULL
"188";"Right";"VEGA";"IM-A850S";"1";"1435019334990";NULL
"189";"Right";"KDDI";"LGV31";"1";"1435027752276";NULL
"190";"Right";"VEGA";"IM-A850S";"1";"1435037054477";NULL
"191";"Right";"KYOCERA";"404KC";"1";"1435037256241";NULL
"192";"Right";"KDDI";"KYY24";"1";"1435039376915";NULL
"193";"Right";"DOCOMO";"SH-01G";"1";"1435071527390";NULL
"194";"Right";"SBM";"401SO";"1";"1435093864008";NULL
"195";"Right";"docomo";"SO-04E";"1";"1435029408945";NULL
"196";"Right";"samsung";"SC-06D";"1";"1435118536951";NULL
"197";"Right";"samsung";"SM-G530F";"1";"1435141158327";NULL
"198";"Right";"SBM";"402LG";"1";"1435145353035";NULL
"199";"Right";"KDDI";"SHL25";"1";"1435151896119";NULL
"200";"Right";"SBM";"403SC";"1";"1435151918546";NULL
"201";"Right";"google";"Nexus 5";"1";"1435160874623";NULL
"202";"Right";"DOCOMO";"F-03F";"1";"1435172793399";NULL
"203";"Right";"google";"Nexus 6";"1";"1435204472167";NULL
"204";"Right";"samsung";"SC-04F";"1";"1435209170562";NULL
"205";"Right";"DOCOMO";"F-01F";"1";"1435211828620";NULL
"206";"Right";"SBM";"302KC";"1";"1435220566711";NULL
"207";"Right";"google";"Nexus 6";"0";"1435232131552";NULL
"208";"Right";"KDDI";"SOL22";"1";"1435232548564";NULL
"209";"Right";"docomo";"SO-04E";"1";"1435276795851";NULL
"210";"Right";"google";"Nexus 7";"1";"1435282692094";NULL
"211";"Right";"docomo";"SO-02E";"1";"1435305663955";NULL
"212";"Right";"google";"Nexus 6";"0";"1435504843537";NULL
